CBSA_ID,CBSA NAME,CBSA,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
716,"Aberdeen, SD",10100,Level Level 1,Minimal,undefined,11,2023-24
137,"Aberdeen, WA",10140,Level Level 3,Minimal,undefined,11,2023-24
739,"Ada, OK",10220,Level Level 2,Minimal,undefined,11,2023-24
615,"Adrian, MI",10300,Level Level 6,Moderate,undefined,11,2023-24
654,"Akron, OH",10420,Level Level 5,Low,undefined,11,2023-24
454,"Alamogordo, NM",10460,Level Level 3,Minimal,undefined,11,2023-24
260,"Albany, OR",10540,Level Level 2,Minimal,undefined,11,2023-24
629,"Albany-Schenectady-Troy, NY",10580,Level Level 3,Minimal,undefined,11,2023-24
326,"Albemarle, NC",10620,Level Level 3,Minimal,undefined,11,2023-24
672,"Albert Lea, MN",10660,Level Level 2,Minimal,undefined,11,2023-24
250,"Albertville, AL",10700,Level Level 2,Minimal,undefined,11,2023-24
165,"Albuquerque, NM",10740,Level Level 11,Very High,undefined,11,2023-24
891,"Alexander City, AL",10760,Level Level 3,Minimal,undefined,11,2023-24
66,"Alexandria, LA",10780,Level Level 3,Minimal,undefined,11,2023-24
937,"Alexandria, MN",10820,Level Level 9,High,undefined,11,2023-24
178,"Allentown-Bethlehem-Easton, PA-NJ",10900,Level Level 4,Low,undefined,11,2023-24
783,"Alma, MI",10940,Level Level 8,High,undefined,11,2023-24
189,"Alpena, MI",10980,Level Level 6,Moderate,undefined,11,2023-24
737,"Altoona, PA",11020,Level Level 1,Minimal,undefined,11,2023-24
758,"Ames, IA",11180,Level Level 3,Minimal,undefined,11,2023-24
557,"Amsterdam, NY",11220,Level Level 3,Minimal,undefined,11,2023-24
671,"Anchorage, AK",11260,Level Level 7,Moderate,undefined,11,2023-24
645,"Angola, IN",11420,Level Level 5,Low,undefined,11,2023-24
781,"Ann Arbor, MI",11460,Level Level 9,High,undefined,11,2023-24
825,"Anniston-Oxford-Jacksonville, AL",11500,Level Level 5,Low,undefined,11,2023-24
933,"Appleton, WI",11540,Level Level 3,Minimal,undefined,11,2023-24
74,"Arcadia, FL",11580,Level Level 1,Minimal,undefined,11,2023-24
500,"Ardmore, OK",11620,Level Level 2,Minimal,undefined,11,2023-24
193,"Arecibo, PR",11640,Level Level 4,Low,undefined,11,2023-24
779,"Arkansas City-Winfield, KS",11680,Level Level 4,Low,undefined,11,2023-24
54,"Asheville, NC",11700,Level Level 1,Minimal,undefined,11,2023-24
880,"Ashtabula, OH",11780,Level Level 7,Moderate,undefined,11,2023-24
26,"Astoria, OR",11820,Level Level 4,Low,undefined,11,2023-24
789,"Athens, OH",11900,Level Level 5,Low,undefined,11,2023-24
172,"Athens, TN",11940,Level Level 2,Minimal,undefined,11,2023-24
913,"Athens-Clarke County, GA",12020,Level Level 4,Low,undefined,11,2023-24
39,"Atlanta-Sandy Springs-Roswell, GA",12060,Level Level 5,Low,undefined,11,2023-24
16,"Atlantic City-Hammonton, NJ",12100,Level Level 4,Low,undefined,11,2023-24
856,"Atmore, AL",12120,Level Level 1,Minimal,undefined,11,2023-24
854,"Auburn, IN",12140,Level Level 4,Low,undefined,11,2023-24
502,"Auburn, NY",12180,Level Level 1,Minimal,undefined,11,2023-24
481,"Auburn-Opelika, AL",12220,Level Level 3,Minimal,undefined,11,2023-24
19,"Augusta-Richmond County, GA-SC",12260,Level Level 4,Low,undefined,11,2023-24
794,"Augusta-Waterville, ME",12300,Level Level 2,Minimal,undefined,11,2023-24
759,"Austin, MN",12380,Level Level 4,Low,undefined,11,2023-24
262,"Austin-Round Rock, TX",12420,Level Level 3,Minimal,undefined,11,2023-24
47,"Baltimore-Columbia-Towson, MD",12580,Level Level 7,Moderate,undefined,11,2023-24
756,"Bangor, ME",12620,Level Level 4,Low,undefined,11,2023-24
32,"Baraboo, WI",12660,Level Level 3,Minimal,undefined,11,2023-24
14,"Bardstown, KY",12680,Level Level 1,Minimal,undefined,11,2023-24
905,"Barnstable Town, MA",12700,Level Level 5,Low,undefined,11,2023-24
802,"Barre, VT",12740,Level Level 2,Minimal,undefined,11,2023-24
693,"Bartlesville, OK",12780,Level Level 3,Minimal,undefined,11,2023-24
587,"Batavia, NY",12860,Level Level 2,Minimal,undefined,11,2023-24
