STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 12,Very High,Jan-06-2024,1,2023-24
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,Influenza Surveillance Report,Level 5,Low,Jan-06-2024,1,2023-24
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,Influenza & RSV Surveillance,Level 10,High,Jan-06-2024,1,2023-24
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,Communicable Disease and Immunizations,Level 10,High,Jan-06-2024,1,2023-24
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,Influenza (Flu),Level 11,Very High,Jan-06-2024,1,2023-24
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,Influenza Surveillance,Level 11,Very High,Jan-06-2024,1,2023-24
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,Flu Statistics,Level 9,High,Jan-06-2024,1,2023-24
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,Weekly Influenza Surveillance Reports,Level 5,Low,Jan-06-2024,1,2023-24
District of Columbia,https://dchealth.dc.gov/node/114982,Influenza Information,Level 10,High,Jan-06-2024,1,2023-24
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,Weekly Influenza Surveillance Reports,Level 10,High,Jan-06-2024,1,2023-24
Georgia,https://dph.georgia.gov/epidemiology/influenza/georgia-influenza-activity,Weekly Influenza Surveillance in Georgia,Level 12,Very High,Jan-06-2024,1,2023-24
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,Hawaii's Influenza Surveillance Program,Level 5,Low,Jan-06-2024,1,2023-24
Idaho,http://flu.idaho.gov,Influenza,Level 10,High,Jan-06-2024,1,2023-24
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,Seasonal Influenza Surveillance Reports,Level 7,Moderate,Jan-06-2024,1,2023-24
Indiana,https://www.in.gov/health/idepd/influenza/influenza-dashboard/,Influenza in Indiana,Level 9,High,Jan-06-2024,1,2023-24
Iowa,https://idph.iowa.gov/influenza/reports,Iowa Influenza Surveillance Network,Level 7,Moderate,Jan-06-2024,1,2023-24
